,season,team,conference,statName,statValue,SeasonTeam
420,2015,Auburn,SEC,interceptionYards,144,2015 Auburn
421,2011,Auburn,SEC,possessionTime,13288,2011 Auburn
422,2005,Auburn,SEC,penalties,0,2005 Auburn
424,2004,Auburn,SEC,possessionTime,15187,2004 Auburn
425,2020,Auburn,SEC,penaltyYards,556,2020 Auburn
426,2005,Auburn,SEC,puntReturnYards,192,2005 Auburn
427,2022,Auburn,SEC,passCompletions,94,2022 Auburn
428,2007,Auburn,SEC,passAttempts,356,2007 Auburn
429,2017,Auburn,SEC,puntReturnYards,175,2017 Auburn
430,2019,Auburn,SEC,fumblesLost,11,2019 Auburn
432,2014,Auburn,SEC,interceptions,7,2014 Auburn
433,2017,Auburn,SEC,puntReturns,23,2017 Auburn
434,2011,Auburn,SEC,fumblesLost,8,2011 Auburn
435,2006,Auburn,SEC,interceptionYards,169,2006 Auburn
436,2012,Auburn,SEC,rushingYards,1781,2012 Auburn
437,2022,Auburn,SEC,interceptionTDs,0,2022 Auburn
439,2004,Auburn,SEC,thirdDowns,157,2004 Auburn
442,2012,Auburn,SEC,thirdDowns,143,2012 Auburn
443,2014,Auburn,SEC,netPassingYards,2984,2014 Auburn
445,2004,Auburn,SEC,passingTDs,25,2004 Auburn
446,2018,Auburn,SEC,passingTDs,21,2018 Auburn
447,2012,Auburn,SEC,possessionTime,21670,2012 Auburn
448,2017,Auburn,SEC,firstDowns,312,2017 Auburn
449,2016,Auburn,SEC,thirdDownConversions,76,2016 Auburn
450,2021,Auburn,SEC,possessionTime,21736,2021 Auburn
451,2018,Auburn,SEC,rushingAttempts,512,2018 Auburn
452,2021,Auburn,SEC,interceptionTDs,2,2021 Auburn
453,2013,Auburn,SEC,penalties,70,2013 Auburn
454,2016,Auburn,SEC,passingTDs,12,2016 Auburn
455,2015,Auburn,SEC,penaltyYards,603,2015 Auburn
456,2021,Auburn,SEC,rushingTDs,22,2021 Auburn
458,2019,Auburn,SEC,tacklesForLoss,111,2019 Auburn
459,2005,Auburn,SEC,fumblesRecovered,8,2005 Auburn
460,2020,Auburn,SEC,interceptionTDs,1,2020 Auburn
461,2015,Auburn,SEC,interceptions,12,2015 Auburn
462,2014,Auburn,SEC,kickReturnTDs,0,2014 Auburn
463,2018,Auburn,SEC,passesIntercepted,14,2018 Auburn
464,2022,Auburn,SEC,tacklesForLoss,30,2022 Auburn
465,2007,Auburn,SEC,fourthDowns,19,2007 Auburn
466,2017,Auburn,SEC,totalYards,6323,2017 Auburn
467,2005,Auburn,SEC,passCompletions,178,2005 Auburn
468,2009,Auburn,SEC,thirdDowns,177,2009 Auburn
469,2021,Auburn,SEC,puntReturnTDs,1,2021 Auburn
471,2017,Auburn,SEC,kickReturns,27,2017 Auburn
472,2021,Auburn,SEC,fourthDownConversions,13,2021 Auburn
473,2015,Auburn,SEC,fourthDowns,15,2015 Auburn
474,2011,Auburn,SEC,passingTDs,17,2011 Auburn
475,2007,Auburn,SEC,thirdDowns,183,2007 Auburn
476,2014,Auburn,SEC,puntReturnYards,303,2014 Auburn
477,2008,Auburn,SEC,puntReturnTDs,1,2008 Auburn
478,2013,Auburn,SEC,firstDowns,334,2013 Auburn
479,2010,Auburn,SEC,penaltyYards,740,2010 Auburn
480,2021,Auburn,SEC,tacklesForLoss,97,2021 Auburn
481,2012,Auburn,SEC,passAttempts,257,2012 Auburn
482,2014,Auburn,SEC,possessionTime,23800,2014 Auburn
483,2015,Auburn,SEC,netPassingYards,2257,2015 Auburn
484,2021,Auburn,SEC,fumblesLost,8,2021 Auburn
485,2009,Auburn,SEC,kickReturnTDs,1,2009 Auburn
486,2006,Auburn,SEC,rushingAttempts,470,2006 Auburn
487,2009,Auburn,SEC,penalties,96,2009 Auburn
488,2017,Auburn,SEC,tacklesForLoss,77,2017 Auburn
489,2015,Auburn,SEC,fourthDownConversions,9,2015 Auburn
490,2022,Auburn,SEC,interceptionYards,19,2022 Auburn
491,2008,Auburn,SEC,fourthDowns,12,2008 Auburn
493,2009,Auburn,SEC,interceptions,9,2009 Auburn
494,2009,Auburn,SEC,interceptionYards,243,2009 Auburn
496,2008,Auburn,SEC,rushingYards,1650,2008 Auburn
498,2022,Auburn,SEC,firstDowns,108,2022 Auburn
499,2004,Auburn,SEC,rushingTDs,27,2004 Auburn
500,2017,Auburn,SEC,interceptionYards,82,2017 Auburn
501,2004,Auburn,SEC,passCompletions,211,2004 Auburn
502,2016,Auburn,SEC,rushingTDs,33,2016 Auburn
503,2009,Auburn,SEC,rushingAttempts,550,2009 Auburn
504,2004,Auburn,SEC,puntReturns,47,2004 Auburn
505,2006,Auburn,SEC,interceptionTDs,0,2006 Auburn
506,2011,Auburn,SEC,kickReturns,56,2011 Auburn
507,2022,Auburn,SEC,puntReturnTDs,0,2022 Auburn
508,2014,Auburn,SEC,kickReturns,35,2014 Auburn
510,2004,Auburn,SEC,rushingAttempts,553,2004 Auburn
511,2016,Auburn,SEC,firstDowns,286,2016 Auburn
512,2007,Auburn,SEC,thirdDownConversions,67,2007 Auburn
513,2018,Auburn,SEC,passCompletions,233,2018 Auburn
514,2006,Auburn,SEC,fourthDownConversions,11,2006 Auburn
515,2017,Auburn,SEC,fourthDowns,15,2017 Auburn
517,2011,Auburn,SEC,thirdDownConversions,61,2011 Auburn
518,2010,Auburn,SEC,penalties,78,2010 Auburn
519,2016,Auburn,SEC,puntReturnYards,171,2016 Auburn
520,2016,Auburn,SEC,puntReturnTDs,0,2016 Auburn
521,2012,Auburn,SEC,fourthDownConversions,3,2012 Auburn
523,2017,Auburn,SEC,interceptionTDs,2,2017 Auburn
524,2018,Auburn,SEC,games,13,2018 Auburn
526,2009,Auburn,SEC,passesIntercepted,17,2009 Auburn
527,2011,Auburn,SEC,rushingYards,2370,2011 Auburn
528,2006,Auburn,SEC,fumblesRecovered,21,2006 Auburn
529,2004,Auburn,SEC,games,13,2004 Auburn
530,2005,Auburn,SEC,turnovers,19,2005 Auburn
531,2017,Auburn,SEC,sacks,32,2017 Auburn
532,2021,Auburn,SEC,rushingAttempts,443,2021 Auburn
533,2011,Auburn,SEC,turnovers,21,2011 Auburn
534,2020,Auburn,SEC,fourthDownConversions,3,2020 Auburn
535,2006,Auburn,SEC,kickReturnYards,12,2006 Auburn
536,2020,Auburn,SEC,fourthDowns,11,2020 Auburn
537,2004,Auburn,SEC,interceptionTDs,1,2004 Auburn
538,2012,Auburn,SEC,puntReturnYards,161,2012 Auburn
539,2010,Auburn,SEC,fourthDownConversions,5,2010 Auburn
541,2006,Auburn,SEC,kickReturnTDs,0,2006 Auburn
542,2011,Auburn,SEC,passCompletions,164,2011 Auburn
544,2004,Auburn,SEC,thirdDownConversions,68,2004 Auburn
545,2005,Auburn,SEC,interceptions,8,2005 Auburn
546,2006,Auburn,SEC,possessionTime,15129,2006 Auburn
547,2014,Auburn,SEC,interceptionTDs,1,2014 Auburn
548,2016,Auburn,SEC,totalYards,5730,2016 Auburn
549,2010,Auburn,SEC,interceptionTDs,1,2010 Auburn
550,2013,Auburn,SEC,rushingTDs,48,2013 Auburn
552,2005,Auburn,SEC,netPassingYards,2586,2005 Auburn
553,2005,Auburn,SEC,possessionTime,12567,2005 Auburn
554,2014,Auburn,SEC,rushingAttempts,607,2014 Auburn
555,2018,Auburn,SEC,rushingTDs,25,2018 Auburn
556,2004,Auburn,SEC,fumblesRecovered,13,2004 Auburn
557,2015,Auburn,SEC,totalYards,4810,2015 Auburn
558,2018,Auburn,SEC,thirdDownConversions,61,2018 Auburn
559,2004,Auburn,SEC,penalties,0,2004 Auburn
562,2012,Auburn,SEC,games,12,2012 Auburn
563,2010,Auburn,SEC,puntReturnTDs,0,2010 Auburn
565,2015,Auburn,SEC,thirdDowns,179,2015 Auburn
566,2019,Auburn,SEC,netPassingYards,2684,2019 Auburn
567,2009,Auburn,SEC,puntReturnTDs,0,2009 Auburn
568,2008,Auburn,SEC,passAttempts,341,2008 Auburn
569,2013,Auburn,SEC,thirdDownConversions,87,2013 Auburn
570,2009,Auburn,SEC,puntReturnYards,107,2009 Auburn
572,2016,Auburn,SEC,interceptions,6,2016 Auburn
573,2008,Auburn,SEC,interceptions,13,2008 Auburn
574,2004,Auburn,SEC,passesIntercepted,16,2004 Auburn
576,2022,Auburn,SEC,penaltyYards,332,2022 Auburn
577,2014,Auburn,SEC,passesIntercepted,22,2014 Auburn
578,2005,Auburn,SEC,fumblesLost,11,2005 Auburn
579,2010,Auburn,SEC,passAttempts,296,2010 Auburn
580,2015,Auburn,SEC,kickReturns,34,2015 Auburn
581,2020,Auburn,SEC,passesIntercepted,9,2020 Auburn
582,2022,Auburn,SEC,games,12,2022 Auburn
584,2004,Auburn,SEC,rushingYards,2383,2004 Auburn
585,2014,Auburn,SEC,turnovers,20,2014 Auburn
586,2022,Auburn,SEC,totalYards,2203,2022 Auburn
587,2006,Auburn,SEC,games,13,2006 Auburn
588,2021,Auburn,SEC,fourthDowns,23,2021 Auburn
589,2018,Auburn,SEC,fumblesLost,8,2018 Auburn
590,2013,Auburn,SEC,fumblesLost,11,2013 Auburn
591,2014,Auburn,SEC,fourthDownConversions,3,2014 Auburn
592,2013,Auburn,SEC,interceptionYards,112,2013 Auburn
593,2019,Auburn,SEC,penaltyYards,718,2019 Auburn
594,2016,Auburn,SEC,sacks,25,2016 Auburn
596,2007,Auburn,SEC,games,13,2007 Auburn
597,2012,Auburn,SEC,fourthDowns,9,2012 Auburn
598,2008,Auburn,SEC,fourthDownConversions,5,2008 Auburn
599,2022,Auburn,SEC,turnovers,13,2022 Auburn
600,2009,Auburn,SEC,games,13,2009 Auburn
602,2010,Auburn,SEC,kickReturnYards,1482,2010 Auburn
603,2022,Auburn,SEC,puntReturns,13,2022 Auburn
604,2022,Auburn,SEC,possessionTime,10340,2022 Auburn
605,2016,Auburn,SEC,fumblesLost,8,2016 Auburn
606,2017,Auburn,SEC,puntReturnTDs,1,2017 Auburn
607,2011,Auburn,SEC,penaltyYards,676,2011 Auburn
608,2014,Auburn,SEC,passAttempts,332,2014 Auburn
609,2020,Auburn,SEC,passCompletions,216,2020 Auburn
610,2008,Auburn,SEC,fumblesLost,13,2008 Auburn
611,2016,Auburn,SEC,turnovers,14,2016 Auburn
612,2017,Auburn,SEC,penaltyYards,537,2017 Auburn
613,2020,Auburn,SEC,rushingAttempts,392,2020 Auburn
614,2022,Auburn,SEC,thirdDowns,82,2022 Auburn
615,2015,Auburn,SEC,interceptionTDs,1,2015 Auburn
616,2009,Auburn,SEC,fumblesLost,13,2009 Auburn
617,2009,Auburn,SEC,thirdDownConversions,71,2009 Auburn
618,2020,Auburn,SEC,puntReturnTDs,0,2020 Auburn
619,2011,Auburn,SEC,totalYards,4392,2011 Auburn
620,2010,Auburn,SEC,thirdDowns,162,2010 Auburn
621,2011,Auburn,SEC,fumblesRecovered,12,2011 Auburn
622,2014,Auburn,SEC,puntReturnTDs,2,2014 Auburn
623,2019,Auburn,SEC,puntReturnTDs,0,2019 Auburn
624,2009,Auburn,SEC,kickReturns,63,2009 Auburn
625,2007,Auburn,SEC,fumblesRecovered,11,2007 Auburn
627,2020,Auburn,SEC,puntReturnYards,78,2020 Auburn
628,2007,Auburn,SEC,interceptionTDs,1,2007 Auburn
629,2011,Auburn,SEC,interceptionYards,180,2011 Auburn
630,2014,Auburn,SEC,fumblesLost,13,2014 Auburn
631,2010,Auburn,SEC,interceptionYards,94,2010 Auburn
632,2008,Auburn,SEC,passesIntercepted,11,2008 Auburn
633,2021,Auburn,SEC,penalties,73,2021 Auburn
634,2012,Auburn,SEC,penalties,75,2012 Auburn
635,2012,Auburn,SEC,puntReturnTDs,0,2012 Auburn
636,2018,Auburn,SEC,penalties,73,2018 Auburn
637,2009,Auburn,SEC,interceptionTDs,4,2009 Auburn
638,2022,Auburn,SEC,netPassingYards,1313,2022 Auburn
639,2008,Auburn,SEC,puntReturnYards,273,2008 Auburn
640,2004,Auburn,SEC,totalYards,5469,2004 Auburn
641,2017,Auburn,SEC,interceptions,6,2017 Auburn
643,2021,Auburn,SEC,passCompletions,267,2021 Auburn
644,2012,Auburn,SEC,passesIntercepted,2,2012 Auburn
645,2015,Auburn,SEC,turnovers,17,2015 Auburn
646,2016,Auburn,SEC,kickReturns,23,2016 Auburn
647,2021,Auburn,SEC,interceptions,4,2021 Auburn
648,2007,Auburn,SEC,rushingAttempts,543,2007 Auburn
649,2020,Auburn,SEC,netPassingYards,2422,2020 Auburn
650,2019,Auburn,SEC,passAttempts,396,2019 Auburn
652,2008,Auburn,SEC,penalties,74,2008 Auburn
653,2005,Auburn,SEC,rushingYards,1939,2005 Auburn
656,2013,Auburn,SEC,kickReturnTDs,2,2013 Auburn
657,2013,Auburn,SEC,kickReturnYards,936,2013 Auburn
658,2005,Auburn,SEC,interceptionYards,75,2005 Auburn
659,2018,Auburn,SEC,fourthDownConversions,11,2018 Auburn
660,2010,Auburn,SEC,games,14,2010 Auburn
661,2006,Auburn,SEC,rushingYards,1926,2006 Auburn
662,2009,Auburn,SEC,penaltyYards,837,2009 Auburn
663,2011,Auburn,SEC,netPassingYards,2219,2011 Auburn
665,2014,Auburn,SEC,puntReturns,17,2014 Auburn
666,2011,Auburn,SEC,puntReturnTDs,0,2011 Auburn
668,2015,Auburn,SEC,puntReturnYards,179,2015 Auburn
669,2006,Auburn,SEC,firstDowns,220,2006 Auburn
670,2021,Auburn,SEC,kickReturnTDs,0,2021 Auburn
671,2004,Auburn,SEC,puntReturnYards,428,2004 Auburn
672,2016,Auburn,SEC,interceptionYards,83,2016 Auburn
0,2004,Missouri,Big 12,penaltyYards,0,2004 Missouri
1,2011,Missouri,Big 12,interceptionYards,113,2011 Missouri
2,2005,Missouri,Big 12,puntReturnYards,259,2005 Missouri
6,2009,Missouri,Big 12,passCompletions,274,2009 Missouri
7,2019,Missouri,SEC,games,12,2019 Missouri
8,2022,Missouri,SEC,kickReturnTDs,0,2022 Missouri
9,2022,Missouri,SEC,kickReturns,6,2022 Missouri
10,2022,Missouri,SEC,interceptionTDs,1,2022 Missouri
11,2021,Missouri,SEC,tacklesForLoss,83,2021 Missouri
12,2017,Missouri,SEC,kickReturns,42,2017 Missouri
14,2020,Missouri,SEC,sacks,19,2020 Missouri
15,2018,Missouri,SEC,kickReturnYards,334,2018 Missouri
19,2011,Missouri,Big 12,totalYards,6182,2011 Missouri
20,2019,Missouri,SEC,firstDowns,243,2019 Missouri
21,2021,Missouri,SEC,rushingYards,2342,2021 Missouri
22,2013,Missouri,SEC,possessionTime,25132,2013 Missouri
23,2015,Missouri,SEC,kickReturns,39,2015 Missouri
24,2021,Missouri,SEC,totalYards,5378,2021 Missouri
25,2022,Missouri,SEC,fumblesLost,3,2022 Missouri
26,2005,Missouri,Big 12,passAttempts,469,2005 Missouri
27,2013,Missouri,SEC,games,14,2013 Missouri
28,2022,Missouri,SEC,rushingYards,997,2022 Missouri
29,2018,Missouri,SEC,penaltyYards,800,2018 Missouri
30,2011,Missouri,Big 12,passCompletions,243,2011 Missouri
31,2010,Missouri,Big 12,passingTDs,17,2010 Missouri
32,2021,Missouri,SEC,fumblesLost,2,2021 Missouri
34,2005,Missouri,Big 12,thirdDownConversions,85,2005 Missouri
35,2012,Missouri,SEC,thirdDownConversions,62,2012 Missouri
36,2021,Missouri,SEC,thirdDownConversions,84,2021 Missouri
37,2012,Missouri,SEC,interceptions,14,2012 Missouri
39,2011,Missouri,Big 12,fumblesRecovered,9,2011 Missouri
40,2006,Missouri,Big 12,possessionTime,13607,2006 Missouri
41,2020,Missouri,SEC,fumblesRecovered,5,2020 Missouri
42,2010,Missouri,Big 12,possessionTime,13890,2010 Missouri
43,2013,Missouri,SEC,passesIntercepted,20,2013 Missouri
44,2007,Missouri,Big 12,puntReturns,43,2007 Missouri
45,2020,Missouri,SEC,rushingYards,1362,2020 Missouri
46,2010,Missouri,Big 12,fourthDowns,12,2010 Missouri
48,2015,Missouri,SEC,kickReturnYards,573,2015 Missouri
49,2012,Missouri,SEC,kickReturns,35,2012 Missouri
50,2018,Missouri,SEC,thirdDowns,207,2018 Missouri
51,2015,Missouri,SEC,penalties,63,2015 Missouri
52,2021,Missouri,SEC,kickReturnTDs,1,2021 Missouri
53,2007,Missouri,Big 12,puntReturnTDs,2,2007 Missouri
54,2022,Missouri,SEC,penaltyYards,397,2022 Missouri
55,2010,Missouri,Big 12,firstDowns,286,2010 Missouri
56,2009,Missouri,Big 12,passAttempts,467,2009 Missouri
58,2022,Missouri,SEC,games,12,2022 Missouri
59,2014,Missouri,SEC,rushingTDs,17,2014 Missouri
61,2020,Missouri,SEC,penaltyYards,500,2020 Missouri
62,2011,Missouri,Big 12,fourthDownConversions,10,2011 Missouri
63,2019,Missouri,SEC,passesIntercepted,8,2019 Missouri
64,2019,Missouri,SEC,penalties,83,2019 Missouri
65,2019,Missouri,SEC,puntReturnTDs,1,2019 Missouri
66,2021,Missouri,SEC,fourthDowns,19,2021 Missouri
67,2015,Missouri,SEC,interceptions,12,2015 Missouri
68,2015,Missouri,SEC,puntReturnYards,158,2015 Missouri
69,2007,Missouri,Big 12,passCompletions,394,2007 Missouri
70,2008,Missouri,Big 12,totalYards,6778,2008 Missouri
71,2017,Missouri,SEC,passingTDs,44,2017 Missouri
72,2019,Missouri,SEC,interceptions,8,2019 Missouri
74,2015,Missouri,SEC,passesIntercepted,9,2015 Missouri
75,2006,Missouri,Big 12,puntReturns,34,2006 Missouri
76,2004,Missouri,Big 12,puntReturnTDs,0,2004 Missouri
77,2020,Missouri,SEC,interceptions,6,2020 Missouri
78,2014,Missouri,SEC,fumblesLost,3,2014 Missouri
79,2018,Missouri,SEC,tacklesForLoss,76,2018 Missouri
80,2018,Missouri,SEC,fourthDownConversions,8,2018 Missouri
81,2016,Missouri,SEC,fumblesRecovered,5,2016 Missouri
82,2012,Missouri,SEC,penaltyYards,519,2012 Missouri
83,2013,Missouri,SEC,fourthDownConversions,10,2013 Missouri
84,2014,Missouri,SEC,possessionTime,24280,2014 Missouri
85,2020,Missouri,SEC,kickReturnYards,163,2020 Missouri
86,2005,Missouri,Big 12,rushingTDs,26,2005 Missouri
87,2013,Missouri,SEC,interceptionTDs,2,2013 Missouri
88,2021,Missouri,SEC,sacks,29,2021 Missouri
89,2018,Missouri,SEC,interceptionYards,117,2018 Missouri
90,2012,Missouri,SEC,interceptionYards,124,2012 Missouri
92,2004,Missouri,Big 12,interceptionYards,176,2004 Missouri
94,2006,Missouri,Big 12,puntReturnYards,187,2006 Missouri
95,2004,Missouri,Big 12,puntReturnYards,247,2004 Missouri
96,2016,Missouri,SEC,puntReturns,27,2016 Missouri
97,2022,Missouri,SEC,interceptions,8,2022 Missouri
98,2020,Missouri,SEC,tacklesForLoss,50,2020 Missouri
99,2019,Missouri,SEC,rushingYards,1820,2019 Missouri
100,2017,Missouri,SEC,rushingTDs,16,2017 Missouri
101,2017,Missouri,SEC,turnovers,25,2017 Missouri
102,2013,Missouri,SEC,passAttempts,454,2013 Missouri
104,2016,Missouri,SEC,passAttempts,448,2016 Missouri
105,2008,Missouri,Big 12,puntReturns,47,2008 Missouri
106,2021,Missouri,SEC,puntReturns,14,2021 Missouri
107,2012,Missouri,SEC,rushingYards,1662,2012 Missouri
108,2017,Missouri,SEC,passCompletions,247,2017 Missouri
109,2018,Missouri,SEC,passesIntercepted,10,2018 Missouri
110,2014,Missouri,SEC,fumblesRecovered,13,2014 Missouri
111,2007,Missouri,Big 12,interceptions,13,2007 Missouri
112,2019,Missouri,SEC,passAttempts,376,2019 Missouri
113,2015,Missouri,SEC,thirdDowns,179,2015 Missouri
114,2018,Missouri,SEC,fourthDowns,15,2018 Missouri
115,2020,Missouri,SEC,fourthDownConversions,10,2020 Missouri
117,2006,Missouri,Big 12,rushingTDs,16,2006 Missouri
118,2021,Missouri,SEC,interceptions,11,2021 Missouri
119,2019,Missouri,SEC,possessionTime,21529,2019 Missouri
120,2006,Missouri,Big 12,passesIntercepted,11,2006 Missouri
121,2006,Missouri,Big 12,fumblesLost,17,2006 Missouri
122,2006,Missouri,Big 12,penalties,59,2006 Missouri
123,2022,Missouri,SEC,penalties,47,2022 Missouri
124,2013,Missouri,SEC,fourthDowns,16,2013 Missouri
125,2013,Missouri,SEC,interceptions,8,2013 Missouri
126,2020,Missouri,SEC,totalYards,4030,2020 Missouri
127,2014,Missouri,SEC,rushingYards,2490,2014 Missouri
128,2018,Missouri,SEC,passCompletions,281,2018 Missouri
129,2011,Missouri,Big 12,interceptions,11,2011 Missouri
130,2016,Missouri,SEC,rushingAttempts,500,2016 Missouri
131,2017,Missouri,SEC,kickReturnYards,908,2017 Missouri
132,2014,Missouri,SEC,firstDowns,270,2014 Missouri
133,2016,Missouri,SEC,rushingTDs,24,2016 Missouri
134,2022,Missouri,SEC,rushingAttempts,229,2022 Missouri
135,2004,Missouri,Big 12,passesIntercepted,15,2004 Missouri
136,2013,Missouri,SEC,fumblesLost,8,2013 Missouri
137,2013,Missouri,SEC,kickReturnYards,692,2013 Missouri
139,2021,Missouri,SEC,passAttempts,455,2021 Missouri
140,2004,Missouri,Big 12,thirdDowns,197,2004 Missouri
141,2014,Missouri,SEC,puntReturns,27,2014 Missouri
142,2018,Missouri,SEC,netPassingYards,3632,2018 Missouri
144,2012,Missouri,SEC,penalties,67,2012 Missouri
145,2013,Missouri,SEC,puntReturns,25,2013 Missouri
146,2008,Missouri,Big 12,penalties,58,2008 Missouri
147,2022,Missouri,SEC,kickReturnYards,107,2022 Missouri
148,2011,Missouri,Big 12,passesIntercepted,13,2011 Missouri
149,2019,Missouri,SEC,thirdDownConversions,66,2019 Missouri
150,2006,Missouri,Big 12,rushingAttempts,457,2006 Missouri
151,2009,Missouri,Big 12,rushingTDs,15,2009 Missouri
152,2012,Missouri,SEC,passCompletions,228,2012 Missouri
153,2005,Missouri,Big 12,fourthDowns,28,2005 Missouri
154,2020,Missouri,SEC,kickReturnTDs,0,2020 Missouri
155,2010,Missouri,Big 12,netPassingYards,3434,2010 Missouri
156,2008,Missouri,Big 12,passAttempts,565,2008 Missouri
159,2013,Missouri,SEC,thirdDownConversions,85,2013 Missouri
160,2022,Missouri,SEC,fumblesRecovered,8,2022 Missouri
161,2009,Missouri,Big 12,kickReturnTDs,0,2009 Missouri
163,2004,Missouri,Big 12,fourthDowns,20,2004 Missouri
164,2022,Missouri,SEC,firstDowns,109,2022 Missouri
165,2021,Missouri,SEC,firstDowns,282,2021 Missouri
166,2008,Missouri,Big 12,possessionTime,13488,2008 Missouri
167,2021,Missouri,SEC,fourthDownConversions,11,2021 Missouri
171,2012,Missouri,SEC,possessionTime,21354,2012 Missouri
172,2016,Missouri,SEC,netPassingYards,3545,2016 Missouri
173,2006,Missouri,Big 12,games,13,2006 Missouri
174,2009,Missouri,Big 12,interceptions,11,2009 Missouri
176,2014,Missouri,SEC,thirdDowns,217,2014 Missouri
177,2007,Missouri,Big 12,rushingTDs,29,2007 Missouri
178,2004,Missouri,Big 12,passingTDs,18,2004 Missouri
180,2004,Missouri,Big 12,rushingTDs,13,2004 Missouri
181,2004,Missouri,Big 12,fumblesRecovered,9,2004 Missouri
182,2019,Missouri,SEC,fumblesLost,6,2019 Missouri
183,2011,Missouri,Big 12,turnovers,19,2011 Missouri
184,2019,Missouri,SEC,interceptionYards,266,2019 Missouri
185,2011,Missouri,Big 12,thirdDownConversions,73,2011 Missouri
187,2019,Missouri,SEC,fourthDowns,13,2019 Missouri
188,2016,Missouri,SEC,passesIntercepted,15,2016 Missouri
189,2013,Missouri,SEC,fumblesRecovered,12,2013 Missouri
190,2009,Missouri,Big 12,games,13,2009 Missouri
191,2014,Missouri,SEC,kickReturns,26,2014 Missouri
193,2017,Missouri,SEC,thirdDowns,173,2017 Missouri
194,2017,Missouri,SEC,fourthDowns,11,2017 Missouri
195,2009,Missouri,Big 12,penalties,69,2009 Missouri
196,2005,Missouri,Big 12,possessionTime,12659,2005 Missouri
197,2022,Missouri,SEC,passCompletions,112,2022 Missouri
198,2005,Missouri,Big 12,netPassingYards,2846,2005 Missouri
199,2011,Missouri,Big 12,rushingTDs,30,2011 Missouri
200,2013,Missouri,SEC,interceptionYards,232,2013 Missouri
201,2006,Missouri,Big 12,turnovers,28,2006 Missouri
202,2022,Missouri,SEC,fourthDowns,6,2022 Missouri
203,2020,Missouri,SEC,penalties,58,2020 Missouri
204,2005,Missouri,Big 12,rushingAttempts,512,2005 Missouri
206,2015,Missouri,SEC,interceptionYards,156,2015 Missouri
208,2019,Missouri,SEC,totalYards,4491,2019 Missouri
209,2005,Missouri,Big 12,rushingYards,2463,2005 Missouri
210,2016,Missouri,SEC,passingTDs,25,2016 Missouri
211,2020,Missouri,SEC,puntReturnTDs,0,2020 Missouri
212,2013,Missouri,SEC,rushingYards,3330,2013 Missouri
213,2006,Missouri,Big 12,passingTDs,29,2006 Missouri
214,2004,Missouri,Big 12,interceptions,11,2004 Missouri
216,2013,Missouri,SEC,kickReturnTDs,0,2013 Missouri
218,2010,Missouri,Big 12,penaltyYards,747,2010 Missouri
219,2007,Missouri,Big 12,netPassingYards,4569,2007 Missouri
220,2018,Missouri,SEC,games,13,2018 Missouri
221,2009,Missouri,Big 12,kickReturnYards,1313,2009 Missouri
222,2015,Missouri,SEC,turnovers,17,2015 Missouri
224,2013,Missouri,SEC,penaltyYards,543,2013 Missouri
225,2020,Missouri,SEC,thirdDowns,141,2020 Missouri
226,2020,Missouri,SEC,fourthDowns,18,2020 Missouri
227,2007,Missouri,Big 12,games,14,2007 Missouri
228,2017,Missouri,SEC,puntReturnYards,232,2017 Missouri
229,2006,Missouri,Big 12,fourthDowns,17,2006 Missouri
230,2005,Missouri,Big 12,firstDowns,281,2005 Missouri
231,2019,Missouri,SEC,puntReturns,21,2019 Missouri
233,2014,Missouri,SEC,interceptionTDs,1,2014 Missouri
234,2010,Missouri,Big 12,rushingTDs,28,2010 Missouri
235,2006,Missouri,Big 12,fourthDownConversions,9,2006 Missouri
236,2005,Missouri,Big 12,games,12,2005 Missouri
237,2022,Missouri,SEC,puntReturnYards,116,2022 Missouri
238,2022,Missouri,SEC,sacks,12,2022 Missouri
239,2020,Missouri,SEC,kickReturns,10,2020 Missouri
240,2009,Missouri,Big 12,passingTDs,26,2009 Missouri
241,2022,Missouri,SEC,rushingTDs,10,2022 Missouri
242,2021,Missouri,SEC,interceptionTDs,1,2021 Missouri
243,2010,Missouri,Big 12,rushingYards,2033,2010 Missouri
244,2014,Missouri,SEC,interceptionYards,197,2014 Missouri
245,2017,Missouri,SEC,fumblesLost,11,2017 Missouri
246,2017,Missouri,SEC,tacklesForLoss,103,2017 Missouri
248,2008,Missouri,Big 12,thirdDownConversions,87,2008 Missouri
249,2013,Missouri,SEC,turnovers,16,2013 Missouri
251,2017,Missouri,SEC,rushingAttempts,486,2017 Missouri
253,2013,Missouri,SEC,penalties,73,2013 Missouri
254,2007,Missouri,Big 12,interceptionYards,171,2007 Missouri
255,2014,Missouri,SEC,interceptions,13,2014 Missouri
257,2019,Missouri,SEC,passingTDs,17,2019 Missouri
258,2015,Missouri,SEC,totalYards,3361,2015 Missouri
259,2021,Missouri,SEC,puntReturnTDs,0,2021 Missouri
260,2009,Missouri,Big 12,passesIntercepted,8,2009 Missouri
262,2010,Missouri,Big 12,totalYards,5325,2010 Missouri
263,2017,Missouri,SEC,penalties,96,2017 Missouri
264,2015,Missouri,SEC,fumblesLost,5,2015 Missouri
265,2019,Missouri,SEC,penaltyYards,809,2019 Missouri
266,2022,Missouri,SEC,netPassingYards,1246,2022 Missouri
267,2009,Missouri,Big 12,fourthDowns,20,2009 Missouri
268,2005,Missouri,Big 12,passesIntercepted,12,2005 Missouri
269,2019,Missouri,SEC,sacks,25,2019 Missouri
